text,label
What's the difference between space complexity and arrays?,dsa
"Hey, Help me set realistic study goals. Any advice?",general
How is denormalization related to primary keys?,dbms
Explain GROUP BY clauses.,dbms
"I'm stuck on queues, can you help?",dsa
Show me how to implement arrays.,dsa
Break down eigenvalues for me.,maths
Break down gradient for me.,maths
Help me with recursion.,dsa
Can you help me: What's a good resume format for freshers? Any advice?,general
Need help understanding big O notation,dsa
Revise denormalization with me.,dbms
Build me a study plan for the next 4 weeks. Any advice?,general
How do I solve questions about linked lists?,dsa
What are common mistakes in recursion?,dsa
"I'm stuck on inner joins, can you help?",dbms
"Honestly, How do I balance college exams and placement prep? Please guide me.",general
permutations vs normal distribution,maths
Should I do an internship or prepare for placements? Please guide me.,general
Debug my stored procedures solution.,dbms
Can you explain third normal form with an example?,dbms
Show me how to implement backpropagation.,aiml
hypothesis testing explained simply,maths
Is conditional probability asked in placement interviews?,maths
"I'm stuck on discrete mathematics, can you help?",maths
Why is graph theory important?,maths
Compare set theory and graph theory.,maths
I don't understand determinants.,maths
What are the steps for tree traversal?,dsa
Teach me big O notation.,dsa
integrals explained simply,maths
So Give me tips for group discussions. Any advice?,general
I don't understand stored procedures.,dbms
So What's a good resume format for freshers? Any advice?,general
Explain determinants.,maths
Teach me queues.,dsa
Give me a problem on hypothesis testing.,maths
So How do I improve my problem solving speed? Any advice?,general
Debug my gradient descent solution.,aiml
Is SQL joins asked in placement interviews?,dbms
Show me how to implement indexing.,dbms
indexing vs database schema design,dbms
logarithms vs conditional probability,maths
How does combinations work?,maths
How does ensemble methods work?,aiml
Can you help me: What's the difference between service and product companies? Thanks!,general
"I'm stuck on heaps, can you help?",dsa
Need help understanding inner joins,dbms
Can you help me: Help me set realistic study goals. Any advice?,general
Compare hypothesis testing and chain rule.,maths
I don't understand transactions.,dbms
Give me practice problems on permutations.,maths
time complexity vs binary search,dsa
"Honestly, How long does it take to get placement ready? Any advice?",general
Tell me about matrix multiplication.,maths
What are common mistakes in depth first search?,dsa
ER diagrams vs foreign keys,dbms
Give me practice problems on support vector machines.,aiml
Break down hash maps for me.,dsa
Is recursion asked in placement interviews?,dsa
Quick question - Tell me what to study today. I'm not sure.,general
What are common mistakes in normalization?,dbms
time complexity interview questions,dsa
Quiz me on third normal form.,dbms
Help me with batch normalization.,aiml
Can you explain stored procedures with an example?,dbms
Show me how to implement backtracking.,dsa
ensemble methods vs learning rate,aiml
Summarize logarithms for revision.,maths
Need help understanding denormalization,dbms
Quick question - How many hours a day should I study? Thanks!,general
What's the difference between GROUP BY clauses and ACID properties?,dbms
How is time complexity related to queues?,dsa
Tell me about bias variance tradeoff.,aiml
Tell me about combinations.,maths
How long does it take to get placement ready? Please guide me.,general
Summarize discrete mathematics for revision.,maths
What are common mistakes in cross validation?,aiml
Teach me permutations.,maths
Quick question - Can you summarize what I've learned so far? Please guide me.,general
"Honestly, How do I build a good GitHub profile? Please guide me.",general
How is linked lists related to tree traversal?,dsa
transformers interview questions,aiml
Help me with GROUP BY clauses.,dbms
What should my daily routine look like? Thanks!,general
Quick question - How do I negotiate a job offer? Thanks!,general
Give me practice problems on concurrency control.,dbms
Debug my GROUP BY clauses solution.,dbms
inner joins explained simply,dbms
What should I learn first to become a data scientist? Please guide me.,general
binary search interview questions,dsa
"Hey, What certifications actually matter? Thanks!",general
Give me practice problems on k-means clustering.,aiml
stored procedures interview questions,dbms
What's the difference between service and product companies?,general
Need help understanding query optimization,dbms
Compare transactions and query optimization.,dbms
set theory interview questions,maths
"I'm stuck on gradient, can you help?",maths
Debug my eigenvalues solution.,maths
support vector machines vs confusion matrices,aiml
How does SQL joins work?,dbms
What is B-tree indexes?,dbms
So What's the difference between service and product companies?,general
Show me how to implement probability.,maths
Can you help me: Which companies should I apply to? Thanks!,general
How is binary search related to linked list cycle detection?,dsa
"My answer for greedy algorithms was wrong, why?",dsa
Show me how to implement binary trees.,dsa
How do I solve questions about bias variance tradeoff?,aiml
Revise Bayes theorem with me.,maths
space complexity interview questions,dsa
Need help understanding binary trees,dsa
Walk me through stacks step by step.,dsa
How do I solve questions about deadlocks?,dbms
Teach me partial derivatives.,maths
Debug my permutations solution.,maths
What should I learn first to become a data scientist? Any advice?,general
What is merge sort?,dsa
So How do I explain my project in an interview? I'm not sure.,general
"I'm stuck on sliding window, can you help?",dsa
I don't understand graph theory.,maths
Explain cross validation.,aiml
"I'm stuck on combinations, can you help?",maths
"Honestly, What's the difference between service and product companies?",general
What's the difference between matrix multiplication and limits?,maths
Give me a problem on stored procedures.,dbms
Quick question - How do I answer 'tell me about yourself' in an interview? Any advice?,general
"My answer for linked list cycle detection was wrong, why?",dsa
Is hypothesis testing asked in placement interviews?,maths
Give me practice problems on B-tree indexes.,dbms
stacks interview questions,dsa
What is binary trees?,dsa
Tell me about left joins.,dbms
I don't know where to start. Please guide me.,general
Write set theory code for me.,maths
Why is eigenvalues important?,maths
I don't understand subqueries.,dbms
I don't know where to start.,general
"My answer for linked lists was wrong, why?",dsa
Revise overfitting with me.,aiml
What are common mistakes in indexing?,dbms
cross validation interview questions,aiml
naive bayes explained simply,aiml
I don't understand left joins.,dbms
Teach me third normal form.,dbms
So What's the best way to take notes while studying? I'm not sure.,general
Debug my B-tree indexes solution.,dbms
Summarize big O notation for revision.,dsa
How does dynamic programming work?,dsa
Show me how to implement third normal form.,dbms
What is subqueries?,dbms
deadlocks interview questions,dbms
What is hash maps?,dsa
How does precision and recall work?,aiml
What is loss functions?,aiml
Why is inner joins important?,dbms
Can you explain logistic regression with an example?,aiml
What is set theory?,maths
So Help me plan my week. I'm not sure.,general
Summarize views for revision.,dbms
I don't understand two pointers.,dsa
Give me a problem on SQL joins.,dbms
Need help understanding learning rate,aiml
What is precision and recall?,aiml
Walk me through query optimization step by step.,dbms
What are common mistakes in convolutional neural networks?,aiml
I don't understand feature engineering.,aiml
Debug my learning rate solution.,aiml
Quiz me on hypothesis testing.,maths
Can you explain naive bayes with an example?,aiml
Walk me through standard deviation step by step.,maths
"Hey, What are good behavioral interview answers? I'm not sure.",general
Is determinants asked in placement interviews?,maths
"Honestly, What are my weakest areas right now? I'm not sure.",general
Break down primary keys for me.,dbms
Show me how to implement derivatives.,maths
"Hey, How do I answer 'tell me about yourself' in an interview?",general
Revise neural networks with me.,aiml
Can you help me: What should my daily routine look like? Any advice?,general
Need help understanding determinants,maths
Can you help me: How do I balance college exams and placement prep? I'm not sure.,general
Need help understanding heaps,dsa
Is merge sort asked in placement interviews?,dsa
What is confusion matrices?,aiml
How does logistic regression work?,aiml
How does gradient work?,maths
Can you help me: How do I balance college exams and placement prep? Any advice?,general
Revise ACID properties with me.,dbms
Can you explain arrays with an example?,dsa
"Hey, Can you review my overall progress? Thanks!",general
Give me practice problems on recursion.,dsa
"Hey, How do I stay motivated while preparing? I'm not sure.",general
Tell me about B-tree indexes.,dbms
Show me how to implement convolutional neural networks.,aiml
Tell me about SQL joins.,dbms
Write arrays code for me.,dsa
How do I solve questions about overfitting?,aiml
What are common mistakes in embeddings?,aiml
Quick question - How do I handle interview rejection?,general
"I'm stuck on quicksort, can you help?",dsa
What are the steps for normal distribution?,maths
ACID properties explained simply,dbms
What are common mistakes in ACID properties?,dbms
sliding window interview questions,dsa
"Hey, How do I build a good GitHub profile? I'm not sure.",general
Give me a problem on dynamic programming.,dsa
Show me how to implement combinations.,maths
How do I solve questions about regularization?,aiml
Compare linked list cycle detection and recursion.,dsa
What is sliding window?,dsa
Quiz me on indexing.,dbms
What's the best way to take notes while studying?,general
Can you explain normal distribution with an example?,maths
What are the steps for subqueries?,dbms
"My answer for regularization was wrong, why?",aiml
What are the steps for foreign keys?,dbms
neural networks explained simply,aiml
"Honestly, What topics are most important for product company interviews?",general
database schema design interview questions,dbms
Why is backtracking important?,dsa
Can you explain ER diagrams with an example?,dbms
Show me how to implement big O notation.,dsa
How do I solve questions about SQL queries?,dbms
Explain ensemble methods.,aiml
Why is backpropagation important?,aiml
vectors vs probability,maths
Write foreign keys code for me.,dbms
Give me practice problems on heaps.,dsa
Walk me through normalization step by step.,dbms
Revise k-means clustering with me.,aiml
"Honestly, Should I focus on projects or DSA first? Thanks!",general
How is tree traversal related to backtracking?,dsa
Give me a problem on join queries.,dbms
Why is transformers important?,aiml
Break down logarithms for me.,maths
Quiz me on support vector machines.,aiml
Give me practice problems on confusion matrices.,aiml
hash maps explained simply,dsa
Break down embeddings for me.,aiml
Compare merge sort and dynamic programming.,dsa
Write partial derivatives code for me.,maths
Explain inner joins.,dbms
Break down limits for me.,maths
"Hey, How do I handle interview rejection? I'm not sure.",general
Help me with standard deviation.,maths
Walk me through big O notation step by step.,dsa
How do I solve questions about determinants?,maths
"My answer for convolutional neural networks was wrong, why?",aiml
What are good behavioral interview answers? Thanks!,general
Revise naive bayes with me.,aiml
Is first normal form asked in placement interviews?,dbms
Quick question - Should I focus on projects or DSA first? Any advice?,general
Walk me through ACID properties step by step.,dbms
Can you explain logarithms with an example?,maths
What is probability?,maths
Summarize database schema design for revision.,dbms
So How do I explain my project in an interview? Please guide me.,general
Walk me through hash maps step by step.,dsa
"I'm stuck on activation functions, can you help?",aiml
How does breadth first search work?,dsa
Which companies should I apply to? Thanks!,general
Debug my embeddings solution.,aiml
How does set theory work?,maths
Quiz me on graphs.,dsa
So Am I on track for my goals? Any advice?,general
Debug my determinants solution.,maths
Is feature engineering asked in placement interviews?,aiml
What is normalization?,dbms
So Give me a roadmap to crack placements. Any advice?,general
Revise confusion matrices with me.,aiml
Walk me through join queries step by step.,dbms
How is hypothesis testing related to chain rule?,maths
What is overfitting?,aiml
"I failed my last mock interview, what now? Thanks!",general
How does normal distribution work?,maths
"Hey, What should I learn first to become a data scientist? Please guide me.",general
Give me a problem on deadlocks.,dbms
"My answer for deadlocks was wrong, why?",dbms
Explain regularization.,aiml
Compare partial derivatives and determinants.,maths
"Honestly, What are good behavioral interview answers?",general
So How do I explain my project in an interview? Any advice?,general
What is random forests?,aiml
How is linked list cycle detection related to binary search?,dsa
How do I solve questions about transformers?,aiml
Teach me recursion.,dsa
Debug my loss functions solution.,aiml
Write limits code for me.,maths
Revise depth first search with me.,dsa
Is support vector machines asked in placement interviews?,aiml
Give me a problem on subqueries.,dbms
What is discrete mathematics?,maths
"My answer for random forests was wrong, why?",aiml
"I'm stuck on loss functions, can you help?",aiml
"My answer for conditional probability was wrong, why?",maths
So How do I stay motivated while preparing? I'm not sure.,general
concurrency control interview questions,dbms
What are common mistakes in sliding window?,dsa
Is partial derivatives asked in placement interviews?,maths
How is overfitting related to linear regression?,aiml
Teach me merge sort.,dsa
Can you explain heaps with an example?,dsa
Help me plan my week. Thanks!,general
I don't understand binary search.,dsa
Write normal distribution code for me.,maths
How do I solve questions about arrays?,dsa
What should I revise the night before an interview?,general
Teach me loss functions.,aiml
"Hey, Help me plan my week. Thanks!",general
Walk me through activation functions step by step.,aiml
Help me with linear regression.,aiml
What's the difference between indexing and stored procedures?,dbms
What is query optimization?,dbms
I don't understand integrals.,maths
So How do I negotiate a job offer?,general
What is views?,dbms
Teach me decision trees.,aiml
Quiz me on feature engineering.,aiml
Revise normalization with me.,dbms
Break down relational algebra for me.,dbms
What are the steps for breadth first search?,dsa
Quick question - How long does it take to get placement ready? I'm not sure.,general
Quiz me on transformers.,aiml
Show me how to implement discrete mathematics.,maths
"I'm stuck on support vector machines, can you help?",aiml
Is denormalization asked in placement interviews?,dbms
determinants explained simply,maths
Need help understanding queues,dsa
"Hey, What's the best way to take notes while studying?",general
Explain loss functions.,aiml
What is combinations?,maths
What is graphs?,dsa
Compare gradient and Bayes theorem.,maths
Help me with probability.,maths
"My answer for stored procedures was wrong, why?",dbms
Show me how to implement stored procedures.,dbms
Summarize hypothesis testing for revision.,maths
Is regularization asked in placement interviews?,aiml
What's the difference between limits and matrix multiplication?,maths
Debug my ACID properties solution.,dbms
I don't understand logistic regression.,aiml
